optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
greedy_phase1,4,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,3,342,4
commutation_phase2,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,3,342,4
hybrid_phase1_2,4,0,1.0,1.0,True,0.002000093460083008,E10_real_variance,CNOT_chain,3,4,3,3,342,4
template_phase2b,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,3,342,4
greedy_phase1,4,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,4,442,4
commutation_phase2,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,4,442,4
hybrid_phase1_2,4,0,1.0,1.0,True,0.001985311508178711,E10_real_variance,CNOT_chain,3,4,3,4,442,4
template_phase2b,4,4,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,3,4,3,4,442,4
greedy_phase1,6,0,1.0,1.0,True,0.00099945068359375,E10_real_variance,CNOT_chain,4,6,4,0,42,6
commutation_phase2,6,6,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,4,6,4,0,42,6
hybrid_phase1_2,6,0,1.0,1.0,True,0.001999378204345703,E10_real_variance,CNOT_chain,4,6,4,0,42,6
template_phase2b,6,6,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,4,6,4,0,42,6
greedy_phase1,6,0,1.0,1.0,True,0.0,E10_real_variance,CNOT_chain,4,6,4,1,142,6
commutation_phase2,6,6,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,4,6,4,1,142,6
hybrid_phase1_2,6,0,1.0,1.0,True,0.0020008087158203125,E10_real_variance,CNOT_chain,4,6,4,1,142,6
template_phase2b,6,6,0.0,1.0,True,0.0,E10_real_variance,CNOT_chain,4,6,4,1,142,6
